MATRIX_SIZE THREADS REAL_TIME
20000 1 1062.31
20000 2 707.54
20000 4 527.42
20000 6 484.75
20000 8 493.19
20000 10 500.88
20000 12 493.17
20000 14 482.74
20000 16 524.47
